--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:23.689  4945  4945 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:23.699  4945  4945 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:23.723  4945  4945 I app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:23.723  4945  4945 W app_process: Could not create mount namespace.
09-17 11:10:23.723  4945  4945 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:23.723  4945  4945 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:23.723  4945  4945 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: Operation not permitted
09-17 11:10:23.723  4945  4945 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:23.735  4945  4945 D AndroidRuntime: Calling main entry com.android.commands.input.Input
09-17 11:10:23.736  4945  4945 I Input   : injectMotionEvent: MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=952.0, y[0]=795.0, toolType[0]=TOOL_TYPE_UNKNOWN, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=304857, downTime=304857, deviceId=3, source=0x1002 }
09-17 11:10:23.750  4945  4945 I Input   : injectMotionEvent: MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=952.0, y[0]=795.0, toolType[0]=TOOL_TYPE_UNKNOWN, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=304857, downTime=304857, deviceId=3, source=0x1002 }
09-17 11:10:23.762  4945  4945 D AndroidRuntime: Shutting down VM
09-17 11:10:23.845  3856  3949 I chatty  : uid=10065(com.netease.chiji) NeoXMain expire 284 lines
09-17 11:10:23.860  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:23.860  1559  1567 I chatty  : uid=1000(system) FinalizerDaemon identical 70 lines
09-17 11:10:23.860  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:24.294  3856  4917 I chatty  : uid=10065(com.netease.chiji) expire 2 lines
09-17 11:10:24.295  3856  4955 I chatty  : uid=10065(com.netease.chiji) expire 23 lines
09-17 11:10:24.296  3856  4918 I chatty  : uid=10065(com.netease.chiji) expire 1 line
09-17 11:10:24.297  3856  4919 I chatty  : uid=10065(com.netease.chiji) expire 1 line
09-17 11:10:24.298  3856  4922 I chatty  : uid=10065(com.netease.chiji) expire 1 line
09-17 11:10:24.310  3856  4921 I chatty  : uid=10065(com.netease.chiji) expire 2 lines
09-17 11:10:24.311  3856  4932 I chatty  : uid=10065(com.netease.chiji) expire 5 lines
09-17 11:10:24.318  3856  4933 I chatty  : uid=10065(com.netease.chiji) expire 2 lines
09-17 11:10:24.322  3856  4928 I chatty  : uid=10065(com.netease.chiji) expire 2 lines
09-17 11:10:24.325  1471  1471 D LDDec   : ~LDDec deinit 0xf5211190 0
09-17 11:10:24.325  1471  1471 D         : freeChannelId holdpipe: 1
09-17 11:10:24.326  1471  1471 I         : fastpipe: close connect
09-17 11:10:24.781  1403  1403 I bluetooth@1.0-s: type=1400 audit(0.0:1261): avc: denied { call } for scontext=u:r:init:s0 tcontext=u:r:bluetooth:s0 tclass=binder permissive=1
09-17 11:10:24.810  4962  4962 D su      : su invoked.
