127.0.0.1 - - [15/Sep/2026 09:22:10] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:11] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:16] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:19] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:20] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:20] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:20] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:20] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:20] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:27] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:27] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:27] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:54] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:54] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:54] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:22:54] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:23:09] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:23:09] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
