127.0.0.1 - - [15/Sep/2026 09:44:18] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:19] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:24] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:25] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:25] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:25] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:25] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:25] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:27] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:27] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:28] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:28] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:28] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:28] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:37] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:37] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:37] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:47] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:47] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:47] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:47] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:53] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:44:53] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
