127.0.0.1 - - [15/Sep/2026 09:54:01] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:02] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:06] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:07] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:07] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:07] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:07] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:07] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:10] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:17] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:17] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:17] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:59] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:59] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:59] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:54:59] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:55:07] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:55:07] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:55:07] "GET /status/?project=h45na&gid=10001&name=STATUS HTTP/1.1" 200 -
