127.0.0.1 - - [15/Sep/2026 09:49:44] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:45] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:50] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:53] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:54] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:54] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:54] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:54] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:49:54] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:01] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:01] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:01] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:15] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:15] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:15] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:15] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:25] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:25] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:50:26] "GET /status/?project=h45na&gid=10001&name=STATUS HTTP/1.1" 200 -
