127.0.0.1 - - [15/Sep/2026 09:52:08] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:09] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:13] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:14] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:14] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:14] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:14] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:14] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:17] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:24] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:24] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:24] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:41] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:41] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:41] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:41] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:56] "GET /status/?project=h45na&gid=10001&name=STATUS HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:56] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:52:56] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
