127.0.0.1 - - [15/Sep/2026 15:19:54] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:55] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:19:59] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:09] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:09] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:09] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:28] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:28] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:28] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 15:20:28] "POST / HTTP/1.1" 200 -
