127.0.0.1 - - [15/Sep/2026 09:30:40] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:41] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:46] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:47] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:47] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:47] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:47] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:47] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:49] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:58] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:58] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 09:30:58] "POST / HTTP/1.1" 200 -
