127.0.0.1 - - [16/Sep/2026 23:27:06] "POST /service/update2/json?cup2key=14:SEm8HMmXgdPz4IE9WcibS23Z8J78HcNAkQfqJQ-jCnw&cup2hreq=6f88877d63db671d1bde89332effc722e5a2aa9a5a603443349b0679768ec884 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:09] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:10] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:15] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:18] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:29] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:29] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:27:29] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:28:54] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:28:54] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:28:59] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:00] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:00] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:00] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:00] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:00] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:03] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:10] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:10] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:10] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:55] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:55] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:55] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:29:55] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:30:15] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:30:15] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:30:15] "GET /status/?project=h45na&gid=10001&name=STATUS HTTP/1.1" 200 -
