127.0.0.1 - - [16/Sep/2026 18:19:06] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:07] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:11] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:15] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:16] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:16] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:16] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:16] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:16] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:25] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:25] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 18:19:25] "POST / HTTP/1.1" 200 -
