127.0.0.1 - - [16/Sep/2026 17:14:43] "POST /service/update2/json?cup2key=14:wKZ_CggWaBE9DhsoeMha7T4Be0Pztkv_6uDBinew7kg&cup2hreq=4740d26c3724d7007f805740a92a189d3068d1a82dc28c2daaed8ba8491d50a1 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:47] "GET /pl/h45na_hc HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:47] "GET /pl/npk_version_na_android.plist HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "GET /v1 HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "GET /server_list_ad.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:53] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:56] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:58] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:58] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:58] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:58] "GET /internalquery HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:14:58] "POST /client/mobile_upload/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:11] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:11] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:11] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:41] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:41] "GET /notice_pc_hw.txt HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:41] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:41] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:56] "POST / HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 17:15:56] "GET /lighten/pharos_isp.txt HTTP/1.1" 200 -
